areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-05,75_79,131,756,39.0
E92000001,England,nation,2021-07-05,80_84,85,462,32.1
E92000001,England,nation,2021-07-05,85_89,50,271,30.8
E92000001,England,nation,2021-07-05,90+,29,173,33.4
E92000001,England,nation,2021-07-05,unassigned,9,60,
E92000001,England,nation,2021-07-04,00_04,371,3023,91.6
E92000001,England,nation,2021-07-04,00_59,20340,148800,347.5
E92000001,England,nation,2021-07-04,05_09,1153,9199,260.0
E92000001,England,nation,2021-07-04,10_14,2740,17125,510.5
E92000001,England,nation,2021-07-04,15_19,2940,21523,696.5
E92000001,England,nation,2021-07-04,20_24,3423,29425,843.6
E92000001,England,nation,2021-07-04,25_29,2353,17697,465.5
E92000001,England,nation,2021-07-04,30_34,1823,12642,332.0
E92000001,England,nation,2021-07-04,35_39,1475,10430,279.4
E92000001,England,nation,2021-07-04,40_44,1323,9268,271.4
E92000001,England,nation,2021-07-04,45_49,1139,7813,210.3
E92000001,England,nation,2021-07-04,50_54,921,6172,158.0
E92000001,England,nation,2021-07-04,55_59,679,4483,122.1
E92000001,England,nation,2021-07-04,60+,958,6747,50.1
E92000001,England,nation,2021-07-04,60_64,376,2580,82.9
E92000001,England,nation,2021-07-04,65_69,211,1474,52.7
E92000001,England,nation,2021-07-04,70_74,168,1120,40.3
E92000001,England,nation,2021-07-04,75_79,91,715,36.8
E92000001,England,nation,2021-07-04,80_84,53,437,30.3
E92000001,England,nation,2021-07-04,85_89,43,257,29.2
E92000001,England,nation,2021-07-04,90+,16,164,31.7
E92000001,England,nation,2021-07-04,unassigned,4,65,
E92000001,England,nation,2021-07-03,00_04,396,2916,88.4
E92000001,England,nation,2021-07-03,00_59,19164,142867,333.6
E92000001,England,nation,2021-07-03,05_09,1090,8892,251.3
E92000001,England,nation,2021-07-03,10_14,2082,16284,485.5
E92000001,England,nation,2021-07-03,15_19,2895,20742,671.2
E92000001,England,nation,2021-07-03,20_24,3616,29043,832.7
E92000001,England,nation,2021-07-03,25_29,2329,16906,444.7
E92000001,England,nation,2021-07-03,30_34,1668,11947,313.7
E92000001,England,nation,2021-07-03,35_39,1447,9910,265.4
E92000001,England,nation,2021-07-03,40_44,1203,8769,256.8
E92000001,England,nation,2021-07-03,45_49,1003,7396,199.0
E92000001,England,nation,2021-07-03,50_54,812,5849,149.7
E92000001,England,nation,2021-07-03,55_59,623,4213,114.8
E92000001,England,nation,2021-07-03,60+,952,6412,47.6
E92000001,England,nation,2021-07-03,60_64,365,2442,78.5
E92000001,England,nation,2021-07-03,65_69,198,1379,49.3
E92000001,England,nation,2021-07-03,70_74,167,1077,38.8
E92000001,England,nation,2021-07-03,75_79,114,694,35.8
E92000001,England,nation,2021-07-03,80_84,63,424,29.4
E92000001,England,nation,2021-07-03,85_89,23,229,26.0
E92000001,England,nation,2021-07-03,90+,22,167,32.3
E92000001,England,nation,2021-07-03,unassigned,3,64,
E92000001,England,nation,2021-07-02,00_04,431,2778,84.2
E92000001,England,nation,2021-07-02,00_59,20632,136314,318.3
E92000001,England,nation,2021-07-02,05_09,1316,8577,242.4
E92000001,England,nation,2021-07-02,10_14,2290,15576,464.4
E92000001,England,nation,2021-07-02,15_19,2916,19710,637.8
E92000001,England,nation,2021-07-02,20_24,4047,28167,807.6
E92000001,England,nation,2021-07-02,25_29,2486,16093,423.3
E92000001,England,nation,2021-07-02,30_34,1773,11275,296.1
E92000001,England,nation,2021-07-02,35_39,1444,9288,248.8
E92000001,England,nation,2021-07-02,40_44,1297,8318,243.6
E92000001,England,nation,2021-07-02,45_49,1083,7030,189.2
E92000001,England,nation,2021-07-02,50_54,874,5543,141.9
E92000001,England,nation,2021-07-02,55_59,675,3959,107.9
E92000001,England,nation,2021-07-02,60+,1052,6010,44.6
E92000001,England,nation,2021-07-02,60_64,395,2305,74.1
E92000001,England,nation,2021-07-02,65_69,230,1279,45.7
E92000001,England,nation,2021-07-02,70_74,175,992,35.7
E92000001,England,nation,2021-07-02,75_79,117,654,33.7
E92000001,England,nation,2021-07-02,80_84,66,400,27.8
E92000001,England,nation,2021-07-02,85_89,42,227,25.8
E92000001,England,nation,2021-07-02,90+,27,153,29.6
E92000001,England,nation,2021-07-02,unassigned,8,61,
E92000001,England,nation,2021-07-01,00_04,438,2629,79.7
E92000001,England,nation,2021-07-01,00_59,22556,129589,302.6
E92000001,England,nation,2021-07-01,05_09,1337,8142,230.1
E92000001,England,nation,2021-07-01,10_14,2336,14749,439.7
E92000001,England,nation,2021-07-01,15_19,3293,18860,610.3
E92000001,England,nation,2021-07-01,20_24,4678,27271,781.9
E92000001,England,nation,2021-07-01,25_29,2756,15201,399.9
E92000001,England,nation,2021-07-01,30_34,1974,10581,277.9
E92000001,England,nation,2021-07-01,35_39,1547,8750,234.4
E92000001,England,nation,2021-07-01,40_44,1346,7854,230.0
E92000001,England,nation,2021-07-01,45_49,1202,6671,179.5
E92000001,England,nation,2021-07-01,50_54,981,5187,132.7
E92000001,England,nation,2021-07-01,55_59,668,3694,100.6
E92000001,England,nation,2021-07-01,60+,1011,5543,41.2
E92000001,England,nation,2021-07-01,60_64,395,2121,68.2
E92000001,England,nation,2021-07-01,65_69,211,1171,41.9
E92000001,England,nation,2021-07-01,70_74,161,911,32.8
E92000001,England,nation,2021-07-01,75_79,108,612,31.5
E92000001,England,nation,2021-07-01,80_84,66,385,26.7
E92000001,England,nation,2021-07-01,85_89,48,208,23.6
E92000001,England,nation,2021-07-01,90+,22,135,26.1
E92000001,England,nation,2021-07-01,unassigned,14,58,
E92000001,England,nation,2021-06-30,00_04,458,2503,75.9
E92000001,England,nation,2021-06-30,00_59,22442,121131,282.9
E92000001,England,nation,2021-06-30,05_09,1420,7630,215.6
E92000001,England,nation,2021-06-30,10_14,2454,13857,413.1
E92000001,England,nation,2021-06-30,15_19,3192,17638,570.8
E92000001,England,nation,2021-06-30,20_24,4491,25579,733.4
E92000001,England,nation,2021-06-30,25_29,2771,14250,374.9
E92000001,England,nation,2021-06-30,30_34,1903,9765,256.4
E92000001,England,nation,2021-06-30,35_39,1633,8167,218.7
E92000001,England,nation,2021-06-30,40_44,1459,7341,215.0
E92000001,England,nation,2021-06-30,45_49,1193,6184,166.4
E92000001,England,nation,2021-06-30,50_54,847,4786,122.5
E92000001,England,nation,2021-06-30,55_59,621,3431,93.5
E92000001,England,nation,2021-06-30,60+,934,5100,37.9
E92000001,England,nation,2021-06-30,60_64,363,1947,62.6
E92000001,England,nation,2021-06-30,65_69,204,1080,38.6
E92000001,England,nation,2021-06-30,70_74,151,841,30.3
E92000001,England,nation,2021-06-30,75_79,91,562,29.0
E92000001,England,nation,2021-06-30,80_84,68,363,25.2
E92000001,England,nation,2021-06-30,85_89,27,180,20.5
E92000001,England,nation,2021-06-30,90+,30,127,24.6
E92000001,England,nation,2021-06-30,unassigned,12,56,
E92000001,England,nation,2021-06-29,00_04,462,2360,71.5
E92000001,England,nation,2021-06-29,00_59,21699,112546,262.8
E92000001,England,nation,2021-06-29,05_09,1362,6997,197.8
E92000001,England,nation,2021-06-29,10_14,2464,12887,384.2
E92000001,England,nation,2021-06-29,15_19,3132,16478,533.2
E92000001,England,nation,2021-06-29,20_24,4593,24116,691.4
E92000001,England,nation,2021-06-29,25_29,2621,13338,350.9
E92000001,England,nation,2021-06-29,30_34,1818,8974,235.7
E92000001,England,nation,2021-06-29,35_39,1466,7459,199.8
E92000001,England,nation,2021-06-29,40_44,1282,6625,194.0
E92000001,England,nation,2021-06-29,45_49,1054,5677,152.8
E92000001,England,nation,2021-06-29,50_54,833,4434,113.5
E92000001,England,nation,2021-06-29,55_59,612,3201,87.2
E92000001,England,nation,2021-06-29,60+,958,4691,34.8
E92000001,England,nation,2021-06-29,60_64,361,1792,57.6
E92000001,England,nation,2021-06-29,65_69,223,996,35.6
E92000001,England,nation,2021-06-29,70_74,144,770,27.7
E92000001,England,nation,2021-06-29,75_79,104,519,26.7
E92000001,England,nation,2021-06-29,80_84,61,333,23.1
E92000001,England,nation,2021-06-29,85_89,38,174,19.8
E92000001,England,nation,2021-06-29,90+,27,107,20.7
E92000001,England,nation,2021-06-29,unassigned,10,49,
E92000001,England,nation,2021-06-28,00_04,467,2137,64.8
E92000001,England,nation,2021-06-28,00_59,21967,103532,241.8
E92000001,England,nation,2021-06-28,05_09,1521,6320,178.6
E92000001,England,nation,2021-06-28,10_14,2759,11822,352.4
E92000001,England,nation,2021-06-28,15_19,3155,15239,493.1
E92000001,England,nation,2021-06-28,20_24,4577,22352,640.9
E92000001,England,nation,2021-06-28,25_29,2381,12438,327.2
E92000001,England,nation,2021-06-28,30_34,1683,8158,214.2
E92000001,England,nation,2021-06-28,35_39,1418,6775,181.5
E92000001,England,nation,2021-06-28,40_44,1358,6013,176.1
E92000001,England,nation,2021-06-28,45_49,1139,5247,141.2
E92000001,England,nation,2021-06-28,50_54,904,4109,105.2
E92000001,England,nation,2021-06-28,55_59,605,2922,79.6
E92000001,England,nation,2021-06-28,60+,882,4227,31.4
E92000001,England,nation,2021-06-28,60_64,325,1607,51.6
E92000001,England,nation,2021-06-28,65_69,197,885,31.6
E92000001,England,nation,2021-06-28,70_74,154,722,26.0
E92000001,England,nation,2021-06-28,75_79,90,465,24.0
E92000001,England,nation,2021-06-28,80_84,60,297,20.6
E92000001,England,nation,2021-06-28,85_89,36,160,18.2
E92000001,England,nation,2021-06-28,90+,20,91,17.6
E92000001,England,nation,2021-06-28,unassigned,14,49,
E92000001,England,nation,2021-06-27,00_04,264,1906,57.8
E92000001,England,nation,2021-06-27,00_59,14407,93513,218.4
E92000001,England,nation,2021-06-27,05_09,846,5566,157.3
E92000001,England,nation,2021-06-27,10_14,1899,10379,309.4
